Do;25976;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Auen;26058;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Zohar;26064;PLN;FT;http://pleiades.stoa.org/places/688050;null;not; ; ;An ancient place, cited: BAtlas 70 G3 Zohar;Pleiades;FOUND
Santa Marina;26153;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Munno;26219;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Diago;26240;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Melgar;26256;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Rey;26345;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
cosa;26872;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;27122;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;27164;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Fromesta;27260;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;27452;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;27466;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;27476;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;27484;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;27496;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;27507;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;27518;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;27530;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Sanctiago;27600;PPLN;PPT; ; ;not;;; ; ;VALIDATE
cosa;28108;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;28363;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;28405;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Fromesta;28506;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;28654;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;28668;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;28678;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
