TERM;POSITION;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION
Medina;34557;PLN;FT;http://sws.geonames.org/6325382;Madina;not;;;null;Medieval;FOUND
Guadiela;34575;PLN;FT;http://www.geonames.org/3121053/;río Guadiela;not; ; ; ;Medieval;FOUND
Cuenca;34597;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Huepte;34612;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Molina;34632;PN;FT;;;;;;;;FOUND
Taio;34654;PLN;FT; ;Tajo;not; ; ; ;Medieval;FOUND
Beteta;34671;PLN;FT;http://sws.geonames.org/6357394; ;not;;;null;Geonames;FOUND
Huelamo;34686;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Ferrando;34786;PN;FT; ; ;not; ; ; ; ;FOUND
Mando;35133;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Dada;35647;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Martin;35698;PN;FT; ; ;not; ; ; ; ;FOUND
Alfonso;35731;PN;FT;;;;;;;;FOUND
Dios;35757;PN;FT;;;;;;;;FOUND
Castilla;35770;PLN;FT; ;Castiella;not;;;null;Medieval;FOUND
Toledo;35782;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;35792;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;35800;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;35812;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;;null;Medieval;FOUND
Cordoua;35823;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murçia;35834;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;35847;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Sepades;35913;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Toledo;35991;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Toledo;36102;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Toledo;37013;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Mando;40035;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Mando;40501;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Mando;40715;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
denle;41521;PLN;FT;http://sws.geonames.org/3123926;Denle,Dente;not; ; ;null;Geonames;FOUND
Fecha;42143;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Mayo;42207;PPLN;PPT; ; ;not;;; ; ;VALIDATE
CC;42230;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
La;42256;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Alfonsso;42358;PN;FT; ; ;not; ; ; ; ;FOUND
Alfonso;42379;PN;FT;;;;;;;;FOUND
Dios;42405;PN;FT;;;;;;;;FOUND
Castilla;42418;PLN;FT; ;Castiella;not;;;null;Medieval;FOUND
Toledo;42430;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;42440;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;42448;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuillia;42460;PPLN;GENT;http://sws.geonames.org/2510911/;Sevilla;not;;;null;Medieval;VALIDATE
Cordoua;42472;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;42483;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;42495;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Ferrand;42508;PN;FT;;;;;;;;FOUND
Godiel;42516;UN;UNI;;;not;;;;;UNIDENTIFIED
Toledo;42536;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Mando;42617;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Ferrand ;42629;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Godiel;42638;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Toledo;42728;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Toledo;42961;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Toledo;42998;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Dada;43145;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Johan;43196;PN;FT;;;;;;;;FOUND
Perez;43202;PN;FT;;;;;;;;FOUND
Berlanga;43211;PLN;FT;http://sws.geonames.org/6355884; ;not;;;null;Geonames;FOUND
Connosçuda;43308;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonsso;43381;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;43407;PN;FT;;;;;;;;FOUND
Castiella;43420;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;43433;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;43443;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;43451;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;43463;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;;null;Medieval;FOUND
Cordoua;43474;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;43485;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;43497;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Yolant;43530;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Berenguella;43580;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Beatriz;43611;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10241696;null;Geonames;FOUND
Dios;43662;PN;FT;;;;;;;;FOUND
Dios;43751;PN;FT;;;;;;;;FOUND
Dios;43796;PN;FT; ; ;not; ; ; ; ;FOUND
Dios;44497;PN;FT;;;;;;;;FOUND
Sancta;44507;PPN;GENT; ;;;;;;;VALIDATE
Maria;44515;PN;FT; ; ;not; ; ; ; ;FOUND
Cuenca;44726;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
cosa;45247;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Dios;45266;PN;FT;;;;;;;;FOUND
Fecha;45453;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Odoart;45608;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Henrric;45647;PN;FT;;;;;;;;FOUND
Henrric;45647;PN;FT;;;;;;;;FOUND
Anglatierra;45658;PPLN;PPT;;;not;;;;;VALIDATE
Alfonso;45712;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;45761;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Yolant;45803;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Berenguella;45853;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
